attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.061857,0.156622,-0.00485555,-0.220583,-0.240377,-0.393802,0.032094,-0.107552,-0.0265347
0.0547815,0.153562,-0.0116848,-0.0601868,-0.499352,-0.284851,0.0736215,-0.091609,-0.0985465
0.0461136,0.153246,-0.016547,0.0468406,-0.402994,-0.209694,0.0387173,-0.0750445,-0.207472
0.0410573,0.154933,-0.0204995,0.131761,-0.160164,-0.170546,0.030506,-0.0680372,-0.287042
0.0402132,0.157699,-0.0231946,0.14886,0.0263481,-0.0774194,0.0761565,-0.0631997,-0.308693
0.0422227,0.160206,-0.0236908,0.0949669,0.144338,0.0424201,0.121157,-0.0564814,-0.289778
0.0458572,0.161616,-0.021641,0.0227,0.255523,0.161451,0.143309,-0.0546777,-0.282044
0.0503067,0.160848,-0.0176671,-0.13726,0.207003,0.214278,0.127716,-0.0697795,-0.25166
0.0511733,0.156227,-0.0134165,-0.351441,-0.0772764,0.168248,0.108636,-0.0925005,-0.231428
0.0456204,0.148138,-0.0102963,-0.445159,-0.428434,0.114101,0.119156,-0.0916462,-0.297839
0.0349388,0.140236,-0.00716934,-0.332185,-0.535025,0.18902,0.169818,-0.0329072,-0.418243
0.0254446,0.135869,-0.00104055,-0.115698,-0.294113,0.434692,0.209686,0.0334308,-0.479141
0.0214825,0.136404,0.0111667,0.157617,0.0753682,0.785309,0.219411,0.0823463,-0.43951
0.0240497,0.14325,0.0299087,0.488582,0.411233,1.07704,0.196322,0.0859065,-0.323258
0.0302048,0.156344,0.0531181,0.731918,0.524534,1.23627,0.155456,0.0739508,-0.112608
0.0363677,0.172556,0.077828,0.782977,0.472158,1.24456,0.1027,0.0561008,0.0912329
0.0395163,0.188068,0.101826,0.656414,0.249114,1.17286,0.0732816,0.0353654,0.244875
0.0368157,0.199893,0.124053,0.433199,-0.0870215,1.04969,0.0774509,0.0140854,0.320732
0.0287358,0.207089,0.143617,0.234644,-0.289076,0.891364,0.100849,-0.00396712,0.288853
0.0196091,0.21073,0.15989,0.102603,-0.251023,0.720557,0.082068,0.0113742,0.207
0.0138412,0.212333,0.173019,0.0447487,-0.0311136,0.576176,0.0826767,0.0347921,0.130387
0.0134254,0.213429,0.183706,0.0614127,0.192995,0.482438,0.0900443,0.0518848,0.0987739
0.0162348,0.215557,0.193101,0.146743,0.271852,0.456095,0.104366,0.0750062,0.129744
0.0197419,0.220059,0.202537,0.295359,0.29172,0.477809,0.110801,0.0926307,0.175737
0.0240863,0.227538,0.212281,0.419035,0.357945,0.485854,0.0897722,0.106149,0.236363
0.0300164,0.236568,0.221685,0.443256,0.463843,0.456205,0.0725544,0.115853,0.31813
0.0385149,0.244973,0.230671,0.354132,0.59971,0.453734,0.0687996,0.12223,0.402347
0.0496158,0.250968,0.239851,0.201192,0.739029,0.46712,0.0620352,0.12795,0.456174
0.0637255,0.253875,0.249285,0.0240023,0.899506,0.459008,0.0499769,0.119764,0.473001
0.0793899,0.253114,0.258635,-0.156563,0.858476,0.440635,0.0482052,0.10508,0.472595
0.0912841,0.249544,0.267823,-0.274794,0.509863,0.415569,0.0641778,0.0947864,0.41157
0.0935644,0.243677,0.276766,-0.403456,-0.0767002,0.393858,0.0789641,0.106354,0.294063
0.0846825,0.234319,0.285407,-0.613128,-0.578614,0.3608,0.075094,0.13428,0.10705
0.0693121,0.220809,0.293757,-0.782501,-0.713642,0.346946,0.0400452,0.160914,-0.169124
