rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
0.605141,0.0263084,0.188752,0.191167,0.153152,0.249,0.001,0.0001
0.837032,0.118773,0.228294,0.100613,0.171262,0.25942,0.001,0.0001
0.882042,0.159833,0.011603,-0.0143765,0.139443,0.289887,0.001,0.0001
0.761373,0.271454,-0.248019,-0.0550006,0.0935155,0.30997,0.001,0.0001
0.438657,0.391211,-0.375699,-0.0277675,0.0812811,0.317241,0.001,0.0001
-0.0822473,0.316513,-0.272462,0.024015,0.0671746,0.289056,0.001,0.0001
-0.414017,0.0526848,-0.188638,-0.078537,0.0299837,0.0737129,0.001,0.0001
-0.625421,-0.341184,-0.62357,-0.380803,-0.000237703,-0.2468,0.001,0.0001
-1.02149,-0.469822,-1.4259,-0.551116,-0.0716779,-0.489796,0.001,0.0001
-1.75815,-0.255066,-1.9136,-0.482135,-0.0691968,-0.607366,0.001,0.0001
-1.97924,0.431446,-1.66753,-0.331568,0.11917,-0.826249,0.001,0.0001
-1.4325,0.937297,-1.00122,-0.151475,0.230861,-0.960681,0.001,0.0001
-0.537623,0.618919,-0.301331,-0.00991588,0.137481,-0.850039,0.001,0.0001
0.226963,-0.1963,0.148747,-0.0903799,0.0705804,-0.611248,0.001,0.0001
0.482744,-0.776257,0.0955399,-0.278127,-0.0189562,-0.376284,0.001,0.0001
0.256543,-0.652754,-0.29139,-0.356608,-0.141464,-0.201757,0.001,0.0001
-0.121321,-0.169365,-0.65174,-0.331605,-0.154855,-0.0466961,0.001,0.0001
-0.386119,0.247641,-0.879225,-0.232566,-0.113672,0.056828,0.001,0.0001
-0.444216,0.319582,-0.904612,-0.103636,-0.0612808,0.142087,0.001,0.0001
-0.298811,0.142752,-0.79342,-0.00348803,-0.023424,0.190776,0.001,0.0001
-0.0604653,-0.023432,-0.656014,0.0504258,-0.00490712,0.217853,0.001,0.0001
0.107026,-0.100972,-0.520065,0.0810721,-0.00426981,0.258264,0.001,0.0001
0.134569,-0.113275,-0.394956,0.0945182,-0.0102144,0.317535,0.001,0.0001
0.0595059,-0.163799,-0.272414,0.115633,-0.0206522,0.36543,0.001,0.0001
0.00523768,-0.137317,-0.159599,0.11558,-0.0297786,0.349995,0.001,0.0001
0.034479,-0.0683823,-0.0769966,0.0909455,-0.022311,0.307193,0.001,0.0001
0.157884,0.0491623,-0.014383,0.0779264,-0.0225371,0.256145,0.001,0.0001
0.260916,0.0732882,0.0596017,0.0715881,-0.0127051,0.24946,0.001,0.0001
0.337796,0.13535,0.159586,0.0631323,-0.0133602,0.246634,0.001,0.0001
0.361364,0.202762,0.222037,0.0492864,-0.0248836,0.255174,0.001,0.0001
0.286793,0.164041,0.220637,0.0399351,-0.0703634,0.274266,0.001,0.0001
0.0695016,-0.0999798,0.213836,0.035093,-0.105787,0.29069,0.001,0.0001
-0.129928,-0.442031,0.143855,-0.0426318,-0.0846372,0.20463,0.001,0.0001
-0.0970278,-0.284123,-0.00482686,-0.103247,-0.0687568,0.02218,0.001,0.0001
0.210329,0.240487,-0.155481,-0.134886,-0.020742,-0.109146,0.001,0.0001
0.551738,0.780237,-0.0666716,-0.0794877,0.0396303,-0.0812889,0.001,0.0001
0.638525,0.710351,0.173582,0.00423128,0.0861204,0.120407,0.001,0.0001
0.71244,0.429491,0.381799,0.0205631,0.0645036,0.216324,0.001,0.0001
0.75895,0.0917413,0.43773,0.00327224,0.014937,0.199347,0.001,0.0001
0.605254,-0.21133,0.430976,-0.00399948,-0.0414864,0.124677,0.001,0.0001
0.274531,-0.299595,0.271389,-0.0427782,-0.090874,0.00621778,0.001,0.0001
-0.0663366,-0.274516,-0.0975692,-0.113669,-0.143596,-0.145022,0.001,0.0001
-0.420055,-0.314749,-0.411744,-0.0681106,-0.134554,-0.255213,0.001,0.0001
-0.786017,-0.306582,-0.530005,0.0125317,-0.0772071,-0.367687,0.001,0.0001
-1.16627,-0.620823,-0.550285,0.0562181,-0.0236874,-0.485497,0.001,0.0001
-1.07657,-0.526337,-0.590732,0.0519346,0.0155658,-0.740133,0.001,0.0001
-0.637571,0.0196372,-0.612991,0.024797,0.103302,-0.880382,0.001,0.0001
-0.255962,0.587258,-0.455713,0.0592907,0.162345,-0.780618,0.001,0.0001
-0.0616927,0.748757,-0.239581,0.139657,0.141697,-0.499205,0.001,0.0001
0.120717,0.544456,-0.0698682,0.128934,0.0748292,-0.248632,0.001,0.0001
0.386016,0.0874575,0.0228649,0.0687732,0.0303707,-0.0840438,0.001,0.0001
0.593767,-0.218964,-0.0711543,-0.0256257,0.0231249,0.0360523,0.001,0.0001
0.593767,-0.218964,-0.0711543,-0.0256257,0.0231249,0.0360523,-0.0449219,0.000526428
0.601106,-0.0762542,-0.164878,-0.0417178,0.0156596,0.142046,-0.0449219,0.000526428
0.349654,0.317185,-0.308226,-0.0438953,0.0296197,0.245581,-0.0449219,0.000526428
0.0223648,0.697515,-0.38926,0.00987619,0.0131668,0.319182,-0.0449219,0.000526428
-0.203928,0.719708,-0.324422,0.0653787,0.029259,0.356839,-0.0449219,0.000526428
-0.155442,0.438495,-0.194972,0.0980476,0.0447716,0.334174,-0.0449219,0.000526428
0.0672282,0.0629506,-0.154089,0.0882727,0.0376654,0.284069,-0.0449219,0.000526428
0.165792,-0.294686,-0.175478,0.0753851,0.0275994,0.265551,-0.0449219,0.000526428
0.0666478,-0.443757,-0.193756,0.0809061,0.0173948,0.234218,-0.0449219,0.000526428
-0.126848,-0.465452,-0.215431,0.0918563,0.0191271,0.17917,-0.0449219,0.000526428
-0.320106,-0.392797,-0.212665,0.0940541,0.0230823,0.105963,-0.0449219,0.000526428
-0.378098,-0.325784,-0.171643,0.0975076,0.0354402,0.0164115,-0.0449219,0.000526428
-0.222043,-0.232486,-0.0500325,0.115212,0.0493842,-0.0650346,-0.0449219,0.000526428
0.174237,-0.000654533,0.14808,0.139618,0.0675648,-0.113938,-0.0449219,0.000526428
0.566598,0.209707,0.381054,0.143899,0.0890536,-0.0494785,-0.0449219,0.000526428
0.748534,0.275221,0.562771,0.131165,0.0831953,0.126482,-0.0449219,0.000526428
0.77469,0.22086,0.647535,0.0934085,0.0671391,0.265926,-0.0449219,0.000526428
0.685528,0.0654706,0.641689,0.0620725,0.0482986,0.358204,-0.0449219,0.000526428
0.556055,-0.00864474,0.608246,0.0488146,0.0355531,0.372911,-0.0449219,0.000526428
0.473446,-0.0693734,0.636965,0.0727436,0.037584,0.351766,-0.0449219,0.000526428
0.363473,0.128658,0.654646,0.0635348,0.0381637,0.284302,-0.0449219,0.000526428
0.175765,0.389528,0.636317,0.0184598,0.0163723,0.215216,-0.0449219,0.000526428
-0.118617,0.403801,0.457598,-0.0616327,-0.0510074,0.136326,-0.0449219,0.000526428
-0.308923,0.201834,0.264012,-0.0505204,-0.137026,0.00310552,-0.0449219,0.000526428
-0.24897,-0.144616,0.112362,-0.024006,-0.140308,-0.158821,-0.0449219,0.000526428
-0.0472436,-0.376677,0.0891217,0.00661688,-0.0728077,-0.293035,-0.0449219,0.000526428
-0.0158961,-0.265856,0.14532,-0.0003778,-0.00875953,-0.364857,-0.0449219,0.000526428
-0.304078,-0.146117,0.142579,-0.05568,0.0224923,-0.353454,-0.0449219,0.000526428
-0.725805,-0.232521,-0.00788036,-0.124335,0.00380319,-0.355501,-0.0449219,0.000526428
-0.857343,-0.0975522,-0.0995559,-0.141387,0.0207252,-0.466625,-0.0449219,0.000526428
-0.640322,0.340722,0.00592003,-0.103547,0.0796835,-0.559123,-0.0449219,0.000526428
-0.287773,0.690901,0.289522,-0.0561973,0.123825,-0.501664,-0.0449219,0.000526428
-0.0804621,0.603934,0.520405,-0.0438855,0.0779778,-0.283244,-0.0449219,0.000526428
-0.0181594,0.278921,0.593198,-0.101269,0.00649405,-0.0916879,-0.0449219,0.000526428
-0.0460266,0.00531466,0.485707,-0.175096,-0.075269,0.0121028,-0.0449219,0.000526428
-0.106877,-0.0324924,0.250941,-0.228636,-0.127521,0.0393173,-0.0449219,0.000526428
-0.205497,0.101959,0.0241031,-0.224654,-0.137775,0.0621748,-0.0449219,0.000526428
-0.258204,0.297749,-0.119625,-0.185319,-0.1135,0.0892438,-0.0449219,0.000526428
-0.223666,0.428786,-0.143931,-0.122668,-0.0774054,0.125533,-0.0449219,0.000526428
-0.119994,0.420772,-0.0655698,-0.065445,-0.0411503,0.163929,-0.0449219,0.000526428
0.0558751,0.416878,0.050531,-0.0355013,-0.0220363,0.192409,-0.0449219,0.000526428
0.273442,0.448072,0.15872,-0.0391942,-0.0067226,0.215707,-0.0449219,0.000526428
0.440192,0.455533,0.254912,-0.0397827,0.00602084,0.259961,-0.0449219,0.000526428
0.482624,0.389157,0.361336,-0.0274295,-0.00114839,0.305806,-0.0449219,0.000526428
0.489067,0.230326,0.498052,-0.0193521,0.00647852,0.319298,-0.0449219,0.000526428
0.53974,0.0691099,0.573691,-0.0506271,0.0295,0.291295,-0.0449219,0.000526428
0.681009,-0.0990627,0.5247,-0.128705,0.0546485,0.236132,-0.0449219,0.000526428
0.845456,-0.29004,0.358168,-0.179135,0.0589328,0.185898,-0.0449219,0.000526428
0.923904,-0.372003,0.232924,-0.164722,0.0879482,0.16136,-0.0449219,0.000526428
