rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.36688,-0.072879,1.3292,0.155404,-0.0260578,-0.133052,0
-0.36688,-0.072879,1.3292,0.155404,-0.0260578,-0.133052,0
-0.497217,0.0565277,1.32133,0.152931,0.0146578,-0.117931,0
-0.379794,0.307448,1.41113,0.160778,0.0792486,-0.118768,0
-0.193951,0.589751,1.64442,0.186127,0.113037,-0.0865344,0
-0.0204241,0.850253,1.94714,0.210379,0.101938,-0.0181625,0
0.0844704,1.01675,2.16411,0.245195,0.0902498,0.0809816,0
0.0288473,0.862349,2.25865,0.273283,0.079417,0.115471,0
-0.195664,0.405421,2.28092,0.29485,0.0639646,0.0948915,0
-0.419839,-0.144392,2.27149,0.308818,0.0526855,0.0289012,0
-0.437764,-0.335173,2.2195,0.289503,0.0807669,-0.0108528,0
-0.290793,-0.178747,2.15033,0.258813,0.130168,-0.0530072,0
-0.0665274,0.164843,2.10692,0.228494,0.152616,-0.0835848,0
0.122829,0.388235,2.07079,0.215683,0.15613,-0.124267,0
0.276769,0.558971,1.99374,0.201263,0.129698,-0.11766,0
0.351886,0.667765,1.83366,0.181955,0.116005,-0.094678,0
0.367965,0.791808,1.59682,0.161998,0.0965856,-0.0538512,0
0.30914,0.886317,1.31614,0.139668,0.103473,-0.0110162,0
0.215066,0.828674,1.11302,0.111913,0.104302,0.00927722,0
0.114328,0.723811,0.992959,0.0834615,0.104982,0.0348692,0
-0.043415,0.614626,0.926891,0.051418,0.0973796,0.0554333,0
-0.238078,0.520402,0.871732,0.0166799,0.0801827,0.0699729,0
-0.428635,0.499584,0.777382,0.00155708,0.0691236,0.0821683,0
-0.554264,0.502548,0.715818,-0.00215854,0.0492475,0.086648,0
-0.559446,0.480265,0.711295,0.00802247,0.0281712,0.0740578,0
-0.467009,0.449486,0.733178,0.0290166,0.0108705,0.08174,0
-0.334778,0.304907,0.817485,0.0554268,-0.0252279,0.0664454,0
-0.243795,0.131981,0.902347,0.0711583,-0.0588499,0.0589976,0
-0.205397,0.0513456,0.922015,0.0667697,-0.0838362,0.0496243,0
-0.2115,0.0506826,0.88674,0.0666008,-0.103305,0.0383949,0
-0.261245,-0.0141417,0.82489,0.0785911,-0.119544,-0.00933504,0
-0.27527,-0.187716,0.790046,0.0885543,-0.136879,-0.0882322,0
-0.190881,-0.477869,0.76828,0.0879499,-0.12905,-0.214024,0
0.0517749,-0.661165,0.71501,0.0784501,-0.102874,-0.296743,0
0.234535,-0.648591,0.630021,0.0728137,-0.085157,-0.327581,0
-0.0396789,-0.458169,0.492172,0.0507086,-0.0637343,-0.329039,0
-0.65043,-0.156826,0.394112,-0.00530913,-0.0372447,-0.303306,0
-1.15286,-0.0690731,0.342033,-0.0488025,0.0431415,-0.349746,0
