attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.107424,0.312927,-0.0169624,0.119097,0.0742157,-0.491038,-0.0475523,0.0582875,0.0847765
0.108382,0.314733,-0.0278184,0.162985,-0.298494,-0.502539,-0.029965,0.0403974,0.103869
0.103158,0.317015,-0.0386604,0.160976,-0.536103,-0.500158,-0.0174608,0.0333199,0.140035
0.094452,0.318538,-0.0499565,0.0880629,-0.678325,-0.552637,-0.00135616,0.0290145,0.143917
0.0838,0.318201,-0.062127,-0.0224485,-0.749289,-0.592817,0.0107556,0.00574532,0.128214
0.0726651,0.315723,-0.0748222,-0.125061,-0.732695,-0.626706,0.0134458,0.0024901,0.11176
0.0629085,0.311879,-0.0883816,-0.16209,-0.653078,-0.678408,0.0101731,0.018853,0.106813
0.0550796,0.308154,-0.102804,-0.106914,-0.559293,-0.695598,0.0196392,0.0293287,0.0980412
0.0497008,0.306864,-0.116912,0.0622792,-0.381728,-0.637497,0.028858,0.0371016,0.114554
0.0485781,0.309196,-0.129261,0.210622,-0.102853,-0.505117,0.0201194,0.0396145,0.14103
0.0510987,0.313331,-0.137522,0.225468,0.0727529,-0.230913,0.00231358,0.0323202,0.103528
0.0552008,0.318262,-0.139309,0.297543,0.31373,0.0591244,0.0182461,-0.00487804,0.105866
0.0638805,0.32605,-0.138085,0.481747,0.583245,0.0581547,0.0104337,-0.0112999,0.111032
0.0790024,0.337831,-0.139392,0.678295,0.856071,-0.116814,-0.00208698,-0.011698,0.158688
0.100475,0.35196,-0.145906,0.758677,1.06006,-0.374896,-0.00417581,-0.0123779,0.153157
0.127717,0.365627,-0.158284,0.70816,1.18587,-0.605627,0.0106874,-0.0116207,0.126199
0.157807,0.37699,-0.17485,0.626437,1.20894,-0.734121,0.0330365,-0.0152537,0.0557208
0.191856,0.385624,-0.189548,0.418609,1.73475,-0.451689,-0.00219408,0.0642786,0.0645314
0.235353,0.389728,-0.196454,0.0729954,2.23079,-0.0435448,-0.112063,-0.0413734,0.0409911
0.268987,0.384879,-0.190374,-0.788539,0.874285,0.489854,-0.06748,0.0764972,-0.32551
0.273025,0.363326,-0.163849,-1.80779,1.11483,1.33049,-0.211989,-0.161827,0.18208
0.294633,0.337257,-0.121547,-1.51016,2.44403,1.41851,0.0138422,-0.277651,0.219866
0.34179,0.320815,-0.112237,-0.310864,2.18891,-1.29264,0.412441,0.248628,-0.316851
0.385004,0.308518,-0.155832,0.571537,0.722798,-2.69495,-0.024197,0.0439883,-0.567356
0.407737,0.302734,-0.215889,1.05801,0.0472696,-2.58422,0.0131317,-0.0515851,-0.303902
0.424838,0.303219,-0.266817,0.750821,0.0223893,-1.83288,0.173449,-0.234151,-0.179882
0.430778,0.294139,-0.298904,-0.344367,-0.139941,-1.36273,0.221389,-0.224504,-0.272732
0.439124,0.26809,-0.315027,-1.23482,0.19542,-1.09611,0.158934,-0.126467,-0.28831
0.439761,0.237369,-0.318859,-1.18762,-0.300139,-0.521824,0.0534384,-0.11309,-0.40595
0.426381,0.220745,-0.319093,-0.219317,-1.08742,-0.289055,-0.0431458,-0.0160282,-0.431922
0.398492,0.224453,-0.329328,0.934124,-1.85147,-0.528723,-0.0282746,0.0661097,-0.35611
0.359613,0.244728,-0.353048,1.69862,-2.57282,-0.812321,0.0470168,0.0822886,-0.247573
0.311752,0.275183,-0.3808,1.95565,-2.77942,-0.640257,0.0876718,0.0213719,-0.0313094
0.262774,0.311025,-0.401115,1.99106,-2.65682,-0.208077,0.118425,0.00191134,0.110442
0.212975,0.347423,-0.412145,1.66344,-2.7459,0.00843416,0.176275,0.0466982,0.100131
0.154256,0.370048,-0.41725,0.548999,-3.26448,-0.0994874,0.190129,0.120923,0.0595759
0.0891,0.367395,-0.422237,-0.717967,-3.36515,-0.391315,0.18519,0.14837,0.228911
0.0239113,0.342675,-0.434442,-1.66332,-3.46232,-0.847639,0.120456,0.160334,0.240998
-0.0279747,0.298894,-0.457263,-2.67266,-2.31452,-1.24503,0.148511,0.151885,0.460828
-0.0545828,0.24107,-0.485997,-3.07837,-1.15833,-1.18543,0.141021,-0.0323607,0.432695
-0.0650376,0.179744,-0.510721,-3.12691,-0.459815,-0.818323,0.0447338,-0.0497535,0.484098
-0.0680822,0.119134,-0.526797,-2.98367,-0.188952,-0.349601,0.0571408,-0.13922,0.392467
-0.0766388,0.05886,-0.534288,-3.13611,-0.825635,-0.0124095,0.00840743,-0.134137,0.300102
-0.0955556,-0.00679779,-0.538944,-3.32057,-0.792231,0.107295,0.0801797,-0.153419,0.399132
-0.0994054,-0.0666884,-0.540591,-2.48297,0.306329,0.348718,0.141852,-0.29987,0.399773
-0.0900868,-0.105045,-0.533151,-1.24431,0.447441,0.761461,0.0105048,-0.268579,0.267433
-0.0809706,-0.12069,-0.515434,-0.202573,0.273212,1.0928,-0.0679149,-0.130239,0.244936
-0.0735976,-0.117952,-0.490734,0.613729,0.13721,1.30251,-0.123757,-0.0162079,0.278129
-0.0691646,-0.102323,-0.462514,1.08362,0.0358388,1.33467,-0.161431,0.0766123,0.287923
-0.0648162,-0.0799341,-0.436188,1.27257,0.168392,1.07907,-0.140606,0.105683,0.279565
-0.0587225,-0.0552424,-0.41697,1.30059,0.323043,0.670547,-0.140192,0.0916211,0.216144
-0.0498582,-0.0276806,-0.405445,1.54108,0.459505,0.353838,-0.143694,0.0709558,0.159477
-0.0416443,0.0072613,-0.398337,1.99499,0.32733,0.217192,-0.108607,0.042326,0.00531703
-0.0416443,0.0072613,-0.398337,1.99499,0.32733,0.217192,-0.108607,0.042326,0.00531703
-0.0383129,0.0524652,-0.39275,2.4891,-0.032179,0.166974,-0.0107299,-0.0528292,-0.215427
-0.0459629,0.104539,-0.387913,2.62059,-0.723972,0.0862008,0.126491,-0.169989,-0.483164
-0.0678624,0.153446,-0.385648,2.15497,-1.3947,-0.153575,0.205411,-0.210208,-0.622087
-0.0994455,0.18834,-0.388988,1.22768,-1.78575,-0.44626,0.191551,-0.195706,-0.698623
-0.136897,0.203064,-0.398171,0.112101,-2.08545,-0.577632,0.143233,-0.190525,-0.727144
-0.17563,0.196626,-0.410979,-0.898987,-1.92456,-0.524047,0.0250295,-0.0944184,-0.573998
-0.204468,0.173706,-0.424605,-1.51456,-1.11082,-0.337478,-0.129157,0.0754214,-0.351133
-0.215954,0.143385,-0.435763,-1.57036,-0.287077,-0.10322,-0.220948,0.135387,-0.274355
-0.217475,0.116792,-0.441671,-1.07819,-0.013688,0.0924974,-0.201568,0.0595654,-0.264322
-0.217793,0.101181,-0.442024,-0.462993,-0.0429392,0.198424,-0.119197,-0.00671851,-0.208457
-0.219782,0.0953638,-0.43834,-0.0691378,-0.101399,0.289032,-0.0524137,-0.00406954,-0.104875
-0.221604,0.094499,-0.431533,0.11125,0.00331671,0.388739,-0.00178275,0.026167,0.0454887
-0.220624,0.0962356,-0.42241,0.262411,0.187412,0.441214,0.0316842,0.0544918,0.167413
-0.216445,0.101404,-0.412091,0.474412,0.303488,0.43628,0.0681016,0.0646402,0.243943
-0.212077,0.111561,-0.401036,0.747414,0.212,0.413152,0.111724,0.0330673,0.266654
