rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.432974,-0.0364895,0.514347,0.119167,-0.076312,0.0545254,0.001,0.0001
-0.399266,-0.143788,0.556464,0.153892,-0.0423848,0.00631922,0.001,0.0001
-0.332208,-0.2547,0.696079,0.145272,-0.022108,-0.0173284,0.001,0.0001
-0.236572,-0.371636,0.766923,0.106929,-0.0215756,-0.0312617,0.001,0.0001
-0.114756,-0.418962,0.782457,0.0925069,-0.0368657,-0.06321,0.001,0.0001
-0.0145004,-0.310022,0.773845,0.0639525,-0.0431736,-0.0713681,0.001,0.0001
0.0244114,-0.245958,0.755666,0.0422531,-0.044179,-0.040177,0.001,0.0001
0.0577132,-0.221393,0.752061,0.0352959,-0.050355,-0.00765902,0.001,0.0001
0.102763,-0.219035,0.760484,0.0395337,-0.0524914,0.021771,0.001,0.0001
0.139794,-0.256757,0.755466,0.0338859,-0.0569295,0.0497906,0.001,0.0001
0.176711,-0.313657,0.709598,0.0283576,-0.0679693,0.0532107,0.001,0.0001
0.19835,-0.323504,0.627556,0.00533655,-0.0707789,0.0493606,0.001,0.0001
0.157728,-0.377678,0.541233,-0.0116459,-0.0728238,0.055075,0.001,0.0001
0.043683,-0.485636,0.46145,-0.018041,-0.0796641,0.0543048,0.001,0.0001
-0.135231,-0.594613,0.380654,-0.0282428,-0.0697241,0.035728,0.001,0.0001
-0.392292,-0.638762,0.26999,-0.0435948,-0.071217,-0.0139839,0.001,0.0001
-0.577979,-0.5322,0.174962,-0.0619301,-0.0829251,-0.0931868,0.001,0.0001
-0.59438,-0.312167,0.0836977,-0.0750941,-0.0668376,-0.171027,0.001,0.0001
-0.450359,-0.11268,0.0513407,-0.062547,-0.036372,-0.198646,0.001,0.0001
-0.259976,-0.078697,0.0550142,-0.0239308,-0.0165093,-0.183106,0.001,0.0001
-0.0981375,-0.121003,0.0948621,0.00559489,0.0048359,-0.13743,0.001,0.0001
-0.0112188,-0.12908,0.155996,0.00316828,0.0180532,-0.0877211,0.001,0.0001
