rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
0.298948,-0.191346,-0.506956,0.00321665,-0.0853597,0.124947,0
0.313273,-0.626471,-0.664505,-0.00480805,-0.0564377,0.0476658,0
0.368469,-0.771026,-0.827212,0.00579484,-0.0242597,0.005,0
0.395664,-0.74824,-0.912898,0.0253861,-0.0260191,-0.00887346,0
0.475054,-0.570786,-1.01683,0.0109726,0.0310568,-0.0143819,0
0.455052,-0.541875,-0.967058,0.0055545,-0.0325806,-0.103586,0
0.308823,-0.452277,-0.901161,0.00613582,-0.0139992,-0.0794209,0
0.140467,-0.358935,-0.757368,0.00592002,-0.0627668,-0.0725602,0
-0.057557,-0.280747,-0.686937,-0.0125653,-0.0902594,-0.044892,0
-0.320924,-0.336205,-0.870922,-0.0337821,-0.0287582,-0.103031,0
-0.418198,-0.177259,-1.06693,-0.034054,-0.0381597,-0.0905412,0
-0.355248,-0.0354539,-1.13945,-0.0483733,-0.0155038,-0.0662317,0
-0.171879,-0.108104,-1.11413,-0.0610247,-0.00427499,-0.0970706,0
0.0918725,-0.198942,-1.08243,-0.0652227,0.00517605,-0.0704743,0
0.323645,-0.418449,-1.14021,-0.0562031,0.0213888,-0.0746288,0
0.469265,-0.526185,-1.23832,-0.06543,0.0398969,-0.0164975,0
0.445293,-0.567973,-1.34668,-0.100506,0.0782213,-0.0177124,0
0.268842,-0.306086,-1.39804,-0.140774,0.108442,0.042017,0
0.0447267,-0.186435,-1.34583,-0.119486,0.107291,0.0248799,0
-0.053251,-0.0965102,-1.2162,-0.0985335,0.0853437,0.0440764,0
-0.0508797,-0.0865367,-1.09037,-0.0712369,0.0706692,0.0597437,0
-0.00114436,-0.0963366,-0.932147,-0.0570492,0.03817,0.0942133,0
0.10971,-0.106319,-0.792843,-0.0434827,0.000598617,0.124291,0
0.191552,-0.0664578,-0.687476,-0.0420547,-0.0406687,0.170075,0
0.16026,-0.17151,-0.676793,-0.0324075,-0.0609561,0.159802,0
0.0655565,-0.204925,-0.736087,-0.0381646,-0.0835957,0.196022,0
-0.143167,-0.230534,-0.809963,-0.0317039,-0.08611,0.170014,0
-0.281678,-0.143118,-0.782715,-0.0273144,-0.0894568,0.166005,0
-0.299224,-0.0648326,-0.660431,-0.015167,-0.0845172,0.107327,0
-0.144714,0.0608868,-0.49314,-0.0226037,-0.0777013,0.0910765,0
