attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.0396388,0.356187,-0.00713593,-0.100491,-0.0846002,-0.0649143,0.0161273,0.00754738,-0.0552023
0.0359347,0.355348,-0.00780035,0.00233233,-0.257208,-0.000298584,0.027078,0.0167702,-0.0409239
0.0320181,0.355556,-0.00776461,-0.00153246,-0.101307,-0.00697208,0.000797126,-0.00450334,-0.0359889
0.0321336,0.35445,-0.00815882,-0.121479,0.0597286,-0.0246016,-0.0108286,-0.0161612,-0.00527346
0.0342377,0.351265,-0.00838907,-0.167773,0.13764,-0.00609751,-0.00255398,-0.0126491,-0.00280476
0.0370653,0.348657,-0.00842246,-0.0769305,0.10966,-0.00744092,-0.00466053,-0.0166554,-0.01876
0.037411,0.347969,-0.00866302,-0.00219456,-0.0885832,-0.0109589,-0.000492658,-0.0124805,-0.000470936
0.0347782,0.348254,-0.00879668,0.0232391,-0.141274,-0.00487512,0.00326585,-0.012625,-0.00160784
0.0326306,0.348947,-0.00886367,0.0344146,-0.0754047,-0.00876557,-0.0115698,-0.00706002,-0.0210178
0.0319187,0.349172,-0.00925724,-0.0228626,-0.00253756,-0.0276298,-0.015095,-0.0100529,-0.00206071
0.032526,0.348256,-0.00987915,-0.0778749,0.0233491,-0.0268347,-0.00665756,-0.0119364,0.0129281
0.0323099,0.346436,-0.0101266,-0.105955,-0.0814464,0.00170273,0.00362678,-0.00266153,0.0144846
0.0295106,0.345265,-0.0102304,0.0034513,-0.140462,-0.0291762,-0.00789806,-0.00548667,-0.0385042
0.0279248,0.346615,-0.0110313,0.105742,-0.0365572,-0.0310446,-0.0120852,-0.00218725,-0.0682006
0.0278247,0.348724,-0.0113043,0.0847365,0.00215188,0.0144847,-0.00635585,0.00844654,-0.0227734
0.0271671,0.350197,-0.0108047,0.0670908,-0.0751704,0.023242,0.000226509,0.00395602,0.00917959
0.0260042,0.352107,-0.0109208,0.133288,-0.0126632,-0.0269184,-0.0142131,-0.0057402,-0.0293358
0.0265221,0.354989,-0.0114401,0.161868,0.0360577,-0.00705696,-0.00838605,0.00900263,-0.0304376
0.0269905,0.35802,-0.0112011,0.146434,0.0129662,0.0341203,0.00862903,0.0151851,-0.00527704
0.0263639,0.360141,-0.0101327,0.0616337,-0.0402604,0.0663223,0.0261421,0.0173843,0.0369623
0.024991,0.360744,-0.00880863,0.00840215,-0.0261779,0.0525478,0.00245313,0.00644371,0.0332731
0.0241492,0.360487,-0.00792233,-0.0261472,-0.0435529,0.0337947,-0.0105098,0.00832379,0.0260285
0.0222639,0.359872,-0.00748502,-0.00620607,-0.11045,0.00117914,0.000816192,0.00707665,0.00657189
0.0210981,0.360489,-0.00771103,0.0741714,-0.0241841,-0.00537063,-0.00152158,0.00844792,-0.0346376
0.0211392,0.362336,-0.00755809,0.0976278,0.00686388,0.0327247,0.00893655,0.0275404,-0.0133646
0.0203077,0.364002,-0.00638085,0.0670058,-0.0489935,0.0756582,0.024405,0.0247639,0.0208194
0.0184982,0.365072,-0.00434217,0.0415115,-0.0566105,0.112497,0.0181223,0.0196906,0.0225308
0.0164012,0.365587,-0.00191125,0.0174847,-0.0754335,0.104521,0.000232071,0.017425,0.0239526
0.0142101,0.365355,-0.000257094,-0.0155632,-0.0801503,0.0555942,-0.0178188,0.00210223,0.0241889
0.0130746,0.364585,0.000529806,-0.0534168,-0.0303539,0.0315323,-0.0190051,0.00506046,0.0260498
0.0122443,0.362797,0.00131634,-0.118588,-0.0519104,0.0453084,-0.0115233,0.0120257,0.0383229
0.0108744,0.360203,0.00208199,-0.124789,-0.0413605,0.0205339,-0.0162952,0.00100872,0.0146884
0.0105406,0.357865,0.00231931,-0.118832,0.0123089,0.00729758,-0.0254061,0.00202411,0.00152087
0.0106641,0.355334,0.0028334,-0.141587,0.0048318,0.0395202,-0.0144227,0.00430652,0.0179822
0.0097468,0.352369,0.00394157,-0.155109,-0.0386433,0.0568736,-0.00916305,-0.00691354,0.0165467
0.00841297,0.349325,0.00523718,-0.165161,-0.0494845,0.0610679,-0.0249488,-0.0143187,0.0121414
0.00664704,0.345684,0.00675768,-0.212845,-0.0578851,0.0800788,-0.0193916,-0.0210226,0.0236019
0.00504506,0.340893,0.00835809,-0.271316,-0.0376715,0.0607116,-0.0232026,-0.0367348,0.0185097
0.004273,0.335511,0.00945017,-0.285497,-0.00725336,0.0448199,-0.0309818,-0.0419645,-0.00915068
0.00321422,0.330436,0.0105224,-0.247919,-0.0477875,0.0510711,-0.0224342,-0.0345684,-0.0344964
0.00162055,0.326655,0.0115763,-0.145952,-0.0502974,0.0487674,-0.0192503,-0.0346227,-0.0667657
0.000525685,0.324939,0.012839,-0.0510419,-0.0226831,0.0750763,-0.00712049,-0.0281761,-0.0794754
