rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.0236155,0.0471536,0.0010522,-0.00150372,-0.000555791,0.0115398,0.001,0.0001
0.0079064,-0.015346,9.84077e-05,0.00364172,0.00102827,-0.00380725,0.001,0.0001
-0.00305062,0.00612202,0.00192252,0.00291696,0.000688255,0.00264615,0.001,0.0001
0.00251848,-0.00807807,2.77541e-05,0.00162425,-7.73221e-05,0.00929183,0.001,0.0001
-0.00413258,0.00626411,0.000682634,0.00160615,0.000597708,0.0047071,0.001,0.0001
0.00957363,-0.0171149,0.00111623,0.00134427,0.000782177,0.00154835,0.001,0.0001
-0.00906459,0.0134399,-0.00194237,0.00140913,0.000298165,0.0109764,0.001,0.0001
0.00581641,-0.00772368,0.000560341,0.00382901,0.00118363,-0.00278401,0.001,0.0001
-0.002569,0.00949426,0.000325766,0.000573032,-0.000126615,0.0133135,0.001,0.0001
0.00402124,-0.00475848,-0.0014555,0.00452026,0.00101936,-0.00153828,0.001,0.0001
-0.00219627,0.00407656,0.0020958,0.000559613,-0.000399895,0.010368,0.001,0.0001
0.000554761,-0.00196992,0.000327852,0.000832781,0.00162467,0.000800014,0.001,0.0001
0.000378589,-0.000434799,0.000779835,0.00156393,0.000613853,0.00548774,0.001,0.0001
0.000551076,0.00115024,0.000483376,0.00179975,0.00109388,0.0052411,0.001,0.0001
0.00193359,-0.00250285,0.000949539,0.00262862,0.000387751,0.00340873,0.001,0.0001
-0.00113816,0.00227082,-0.000559815,0.00194196,0.00114308,0.00650728,0.001,0.0001
0.000400031,-0.00160746,0.000204548,0.00299289,0.000108816,0.00373,0.001,0.0001
-0.000169154,-0.00098185,0.000534669,0.00135111,-0.000153944,0.0043878,0.001,0.0001
0.00252465,0.00151171,0.000504455,0.00323399,0.000393599,0.004798,0.001,0.0001
0.000528061,-0.00141681,0.00135459,0.00235499,8.82447e-05,0.00417066,0.001,0.0001
