attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.0534785,0.22524,-0.00604977,-0.151977,-0.0337133,-0.173055,0.0267699,-0.0101039,-0.0138661
0.0489805,0.222411,-0.00777952,-0.129148,-0.385055,0.00140966,0.0950673,0.052842,-0.00199759
0.0418968,0.220795,-0.00597462,-0.0269558,-0.230552,0.144264,0.0515548,0.0499073,-0.0422376
0.038939,0.221772,-0.00295354,0.112696,-0.0335048,0.148978,0.0164066,0.0367922,-0.0627211
0.038665,0.225412,-0.00022359,0.249342,0.0815404,0.136951,-0.00229236,0.0305144,-0.0591226
0.0408211,0.231961,0.00222069,0.394167,0.17462,0.124351,-0.00550655,0.0357334,-0.0240074
0.0439011,0.24112,0.00401246,0.506828,0.163479,0.0880618,0.00601236,0.0390831,0.0259217
0.0462356,0.251814,0.00517998,0.54462,0.0968017,0.0762228,0.0362627,0.052246,0.0686082
0.0468106,0.262217,0.0061855,0.475589,-0.0125447,0.0697138,0.0659663,0.0621704,0.0907973
0.0461104,0.270084,0.00711081,0.29604,-0.0251324,0.0548419,0.0797987,0.0663117,0.0955519
0.0454534,0.273756,0.00798113,0.0707366,-0.0125598,0.0411495,0.081239,0.065134,0.0805423
0.0451369,0.273313,0.00836432,-0.100154,-0.0184311,-0.00995601,0.0661419,0.0587866,0.0360439
0.0443893,0.270695,0.00777103,-0.139789,-0.0710205,-0.0578195,0.0631677,0.0634215,-0.0242108
0.0438311,0.268298,0.00612346,-0.0825337,0.00323597,-0.110328,0.0504324,0.0731202,-0.0950828
0.0462668,0.267457,0.00378271,0.00815203,0.172921,-0.10707,0.0532334,0.0872322,-0.122112
0.0510543,0.268159,0.00198709,0.0661384,0.243552,-0.0677823,0.0744795,0.0945919,-0.0928584
0.0568257,0.269288,0.000501679,0.0480271,0.293707,-0.0705268,0.0741275,0.0863273,-0.0586678
0.0632571,0.269453,-0.000857756,-0.0202461,0.296623,-0.0533859,0.066416,0.0852807,-0.0179917
0.0691645,0.268619,-0.0017335,-0.0309362,0.288339,-0.0323063,0.067509,0.0900618,-0.00964826
0.0757489,0.268315,-0.0020032,0.0296931,0.366348,0.0145209,0.0576008,0.0950933,-0.0141013
0.0831263,0.269623,-0.00102021,0.102737,0.376131,0.0983901,0.0477615,0.097331,0.0166345
0.0890773,0.272542,0.00152837,0.163665,0.288546,0.160345,0.0360891,0.0845339,0.0536469
0.0929086,0.276139,0.00431566,0.160824,0.167248,0.130904,-0.00500121,0.0653677,0.0800819
0.0943189,0.279029,0.00613179,0.105435,0.0328642,0.072186,-0.0241608,0.0560467,0.0853465
0.093532,0.280768,0.00716945,0.0643586,-0.0716966,0.0526779,-0.0138109,0.0662626,0.0675899
0.0918791,0.282304,0.00844742,0.0881612,-0.0390865,0.0891119,-0.00387428,0.0797315,0.0284936
0.0911095,0.284587,0.0106462,0.116813,0.0183969,0.142188,0.00421356,0.0922087,0.015535
0.0912357,0.286992,0.0138903,0.0855138,0.0785017,0.181526,-0.00796074,0.0807526,0.0209065
0.0910507,0.288303,0.0176427,0.0120201,-0.00446218,0.180114,-0.0115192,0.067864,0.0333699
0.0893216,0.288142,0.021097,-0.0506993,-0.0556684,0.139348,-0.0261076,0.0537938,0.0124161
0.087676,0.286605,0.0236893,-0.116979,-0.0323392,0.104625,-0.0252303,0.050825,-0.0163991
0.0860383,0.283676,0.0262062,-0.188341,-0.0644121,0.111143,-0.00771443,0.0555821,-0.0292816
0.0838908,0.279426,0.0289985,-0.233457,-0.0678805,0.12577,-0.0116337,0.06775,-0.0586001
0.0815974,0.274899,0.0321726,-0.21887,-0.0708178,0.137628,-0.00453291,0.0590016,-0.087945
0.0796332,0.271337,0.0351821,-0.147393,-0.0374852,0.119872,-0.00486127,0.047103,-0.102307
0.0786001,0.269326,0.0376062,-0.071834,-0.00866815,0.0995987,-0.000508532,0.0406181,-0.0822233
0.0777493,0.268204,0.039472,-0.0513695,-0.0299331,0.0681789,0.00992951,0.0349733,-0.0466753
0.0767997,0.266977,0.0404168,-0.070784,-0.0372804,0.0124373,0.00872701,0.032524,-0.0263227
0.0765272,0.265281,0.0401232,-0.0834607,0.012868,-0.0559001,0.0109692,0.0265086,-0.0295048
0.0777171,0.263496,0.0384829,-0.0691195,0.0606996,-0.113848,0.0161663,0.0418292,-0.0266714
0.079492,0.26209,0.0359285,-0.0491311,0.035778,-0.145337,0.0308322,0.0589353,-0.00945902
0.0803123,0.260977,0.0327345,-0.0308981,-0.0351171,-0.171144,0.039495,0.0749797,-0.000552952
0.0800441,0.260304,0.0291531,0.00643366,-0.0856421,-0.176263,0.0394343,0.0976609,0.00589663
