rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.227783,0.409368,0.273582,-0.0110802,0.00684945,-0.0321353,0.0660553
-0.189327,0.0230705,0.425739,0.0062976,0.0147775,0.0243546,0.0660553
-0.0939327,-0.00167331,0.415113,-0.0454284,-0.0213895,-0.0063464,0.0660553
-0.0428715,0.175386,0.329766,-0.0930198,-0.0382213,-0.0191779,0.0660553
-0.0792917,0.254101,0.288511,-0.0878317,-0.0371438,0.0143491,0.0660553
-0.125434,0.190218,0.29775,-0.0579945,-0.0264216,0.0450284,0.0660553
-0.1309,0.131368,0.348307,-0.0400635,-0.0169838,0.0421609,0.0660553
-0.120833,0.141069,0.392509,-0.0444468,-0.0176443,0.0272068,0.0660553
-0.119352,0.137622,0.417969,-0.0521545,-0.0201356,0.0226917,0.0660553
-0.06454,0.205268,0.419209,-0.0620972,-0.0237458,-0.0059132,0.0660553
-0.0234565,0.335741,0.43223,-0.0701446,-0.012133,-0.00860369,0.0660553
-0.0257379,0.401526,0.469386,-0.0632305,-0.00447951,0.0175611,0.0660553
-0.0497405,0.393815,0.534518,-0.0596907,-0.00533278,0.0435532,0.0660553
-0.0864397,0.344871,0.61272,-0.0623101,-0.0115473,0.0537577,0.0660553
-0.150194,0.337985,0.696866,-0.0826902,-0.0106174,0.0398717,0.0660553
-0.223273,0.283015,0.788932,-0.0981159,-0.0158312,0.0259498,0.0660553
-0.244354,0.190309,0.908782,-0.0919499,-0.0229052,-0.0117359,0.0660553
-0.220947,0.0576706,1.03652,-0.0912949,-0.0151949,-0.0491894,0.0660553
-0.193792,-0.062122,1.14061,-0.101807,-0.00966974,-0.0810538,0.0660553
-0.177141,-0.171403,1.20084,-0.118291,-0.00274676,-0.111122,0.0660553
-0.132661,-0.224091,1.19633,-0.126905,0.00351961,-0.146612,0.0660553
-0.0444152,-0.0908371,1.17113,-0.133331,0.0103888,-0.174792,0.0660553
0.0385049,0.0936378,1.13403,-0.113585,0.0251267,-0.15169,0.0660553
0.0845501,0.134848,1.1793,-0.0653554,0.0295377,-0.0680865,0.0660553
0.143859,0.0403462,1.2033,-0.0596907,0.0325919,0.00657266,0.0660553
0.195863,-0.0744484,1.15606,-0.0609206,0.028674,0.0580173,0.0660553
0.175111,-0.116866,1.08254,-0.0453591,0.0164249,0.0998284,0.0660553
0.0518002,-0.176997,1.01104,-0.0167525,0.0245753,0.137244,0.0660553
-0.0764121,-0.212801,0.993944,0.0300772,0.0297353,0.138186,0.0660553
-0.1283,-0.189656,0.970595,0.0639035,0.0327639,0.102426,0.0660553
-0.141761,-0.104294,0.970746,0.101827,0.0435258,0.0828418,0.0660553
-0.176389,0.0183785,1.02063,0.145275,0.0537789,0.0885843,0.0660553
-0.242037,0.0659914,1.06766,0.184398,0.0456809,0.113345,0.0660553
-0.335646,0.0103924,1.11612,0.214775,0.0360746,0.135556,0.0660553
-0.386759,-0.0908195,1.17784,0.262333,0.023334,0.122479,0.0660553
-0.416806,-0.13104,1.27041,0.296591,0.0207402,0.0907354,0.0660553
-0.471819,-0.0884212,1.41732,0.328827,0.0233588,0.0612471,0.0660553
-0.533925,-0.0906054,1.63064,0.378667,0.00729229,0.0284686,0.0660553
-0.503968,-0.00942507,1.82346,0.399433,-0.0242825,-0.0511047,0.0660553
-0.475648,0.138993,1.98381,0.381606,-0.0416243,-0.113594,0.0660553
-0.627667,0.247485,2.02754,0.331111,-0.0766936,-0.141929,0.0660553
-0.79682,0.173893,1.9977,0.294675,-0.136736,-0.213131,0.0660553
-0.713808,-0.18789,1.9086,0.257559,-0.158811,-0.374116,0.0660553
-0.318498,-0.589247,1.898,0.247257,-0.123813,-0.554425,0.0660553
0.362212,-0.510494,1.96243,0.211441,-0.056448,-0.708277,0.0660553
0.96662,0.0205775,2.00486,0.135121,-0.0104075,-0.713889,0.0660553
1.36881,0.630661,2.00194,0.054746,0.0162124,-0.580482,0.0660553
1.57657,1.01573,1.86568,-0.0196878,0.026406,-0.364548,0.0660553
1.63315,1.17631,1.68392,-0.0632972,0.0453727,-0.151068,0.0660553
1.61761,1.17113,1.50944,-0.0907011,0.075575,0.00464964,0.0660553
1.60007,1.01869,1.32705,-0.107119,0.0991723,0.102606,0.0660553
1.60007,1.01869,1.32705,-0.107119,0.0991723,0.102606,0
1.5554,0.753621,1.13733,-0.10799,0.122111,0.163299,0
1.48639,0.507228,0.916825,-0.114626,0.144968,0.184344,0
1.33598,0.378898,0.691514,-0.117676,0.172818,0.188148,0
1.08857,0.346932,0.512136,-0.0980867,0.20048,0.179757,0
0.817599,0.472688,0.36835,-0.0908592,0.230809,0.145246,0
0.570293,0.642243,0.231638,-0.0987125,0.254093,0.110729,0
0.36178,0.752739,0.113191,-0.087959,0.261597,0.0923123,0
0.200056,0.844007,0.062148,-0.0659211,0.269976,0.0816485,0
0.102423,0.941389,0.0858683,-0.0433269,0.281295,0.07956,0
0.0402794,1.03053,0.149578,-0.0355389,0.273397,0.100644,0
-0.0845165,0.99789,0.21002,-0.0317279,0.248078,0.163172,0
-0.278415,0.912523,0.260588,-0.0453697,0.208672,0.214376,0
-0.468971,0.806852,0.30169,-0.0515274,0.172301,0.230854,0
-0.60125,0.661401,0.392547,-0.0423728,0.143497,0.226404,0
-0.658388,0.510769,0.493542,-0.0520957,0.11267,0.198936,0
-0.712512,0.334534,0.583475,-0.0587837,0.0792558,0.183375,0
-0.763781,0.197615,0.653395,-0.0717795,0.0423189,0.148606,0
-0.786656,0.132327,0.687702,-0.0945535,0.00973168,0.0946051,0
-0.801266,0.0960343,0.706124,-0.111095,-0.0198004,0.0488094,0
-0.776356,-0.0586748,0.718083,-0.108722,-0.0493633,0.0112755,0
-0.66795,-0.21368,0.730211,-0.119002,-0.0721481,-0.0568528,0
-0.546245,-0.348051,0.71051,-0.135675,-0.0834104,-0.110534,0
-0.470081,-0.396956,0.64406,-0.150035,-0.120497,-0.147338,0
-0.397743,-0.333077,0.493978,-0.178673,-0.149934,-0.182989,0
-0.279776,-0.226314,0.284978,-0.195649,-0.164214,-0.210685,0
-0.138007,-0.149153,0.0924206,-0.177393,-0.1604,-0.201095,0
-0.0216341,-0.17274,-0.0448244,-0.135397,-0.137652,-0.156741,0
0.068141,-0.195857,-0.1227,-0.101095,-0.109298,-0.116894,0
0.144618,-0.192916,-0.196527,-0.0851291,-0.0870091,-0.0841118,0
